24.1Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 , 단순합계 ,연결조정분개,연결조정분개,2024년 누적,2024년 전분기 누적,2024년 당분기,24.2Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 , 단순합계 ,연결조정분개,연결조정분개,2024년 누적,2024년 전분기 누적,2024년 당분기,24.3Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 , 단순합계 ,연결조정분개,연결조정분개,2024년 누적,2024년 전분기 누적,2024년 당분기,24.4Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 , 단순합계 ,연결조정분개,연결조정분개,2024년 누적,2024년 전분기 누적,2024년 당분기
기타매출원가,"770,649,934 ",0 ,0 ,"60,310,754 ","2,107,858 ","2,714,089,430 ","107,777,440 ","3,654,935,416 ",0 ,"60,310,754 ","3,594,624,662 ",,"3,594,624,662 ",기타매출원가,"799,194,342 ",0 ,0 ,"80,826,403 ","537,240,712 ","2,816,863,691 ","113,767,127 ","4,347,892,275 ",0 ,"80,826,403 ","7,861,690,535 ","3,594,624,662 ","4,267,065,872 ",기타매출원가,"631,049,024 ",0 ,0 ,"91,457,472 ","11,990,497,530 ","1,614,416,865 ","106,115,337 ","14,433,536,228 ","519,092,342 ","91,457,472 ","22,722,861,633 ","7,861,690,535 ","14,861,171,098 ",기타매출원가,"1,252,231,252 ",0 ,0 ,"116,113,910 ",0 ,"7,208,517,312 ","206,440,537 ","8,783,303,011 ",0 ,"116,113,910 ","31,390,050,734 ","22,722,861,633 ","8,667,189,101 "
Ⅲ.매출총이익,"241,223,924,205 ","65,297,175,287 ","12,979,756,620 ","6,031,076 ","210,162,656 ","(2,297,602,519)","7,177,936,069 ","324,597,383,394 ",,,"332,483,971,441 ",,"332,483,971,441 ",Ⅲ.매출총이익,"185,826,925,613 ","50,908,422,698 ","9,736,821,247 ","2,488,170 ","150,472,455 ","(1,808,866,963)","7,246,753,182 ","252,063,016,402 ",0 ,0 ,"603,782,498,774 ","332,483,971,441 ","271,298,527,333 ",Ⅲ.매출총이익,"258,489,136,402 ","51,327,895,387 ","8,424,286,091 ","17,959,381 ","(3,715,719,450)","(835,780,115)","6,015,233,201 ","319,723,010,897 ",0 ,0 ,"888,703,757,457 ","603,782,498,774 ","284,921,258,683 ",Ⅲ.매출총이익,"288,841,528,073 ","26,140,998,468 ","11,827,183,660 ","37,716,967 ",0 ,"(6,381,458,043)","7,620,230,928 ","328,086,200,053 ",0 ,0 ,"1,246,992,536,124 ","888,703,757,457 ","358,288,778,667 "
Ⅳ.판매비와관리비,"145,770,154,632 ","40,615,627,219 ","12,329,558,135 ","9,376,687 ","400,813,453 ","682,749,392 ","4,587,209,579 ","204,395,489,097 ",,,"202,272,969,941 ",,"202,272,969,941 ",Ⅳ.판매비와관리비,"131,748,164,564 ","30,202,914,822 ","9,240,183,147 ","(2,697,044)","377,274,597 ","662,217,585 ","6,085,092,155 ","178,313,149,826 ",0 ,0 ,"381,770,311,693 ","202,272,969,941 ","179,497,341,752 ",Ⅳ.판매비와관리비,"121,385,797,990 ","38,032,301,904 ","7,968,804,777 ","10,245,589 ","544,343,640 ","689,662,052 ","6,447,490,597 ","175,078,646,549 ",0 ,0 ,"558,386,704,039 ","381,770,311,693 ","176,616,392,347 ",Ⅳ.판매비와관리비,"173,070,355,499 ","48,724,670,703 ","10,072,935,791 ","2,496,267 ",0 ,"815,135,597 ","4,037,826,448 ","236,723,420,305 ",0 ,0 ,"796,255,076,387 ","558,386,704,039 ","237,868,372,348 "
급여,"8,781,165,047 ","6,512,958,147 ","1,928,286,157 ",0 ,"181,230,040 ","312,113,243 ","705,564,478 ","18,421,317,112 ","50,867,676 ",,"18,472,184,788 ",,"18,472,184,788 ",급여,"10,759,702,178 ","6,388,525,396 ","1,977,215,642 ",0 ,"190,189,470 ","343,025,612 ","1,061,196,766 ","20,719,855,064 ","69,860,162 ",0 ,"39,261,900,014 ","18,472,184,788 ","20,789,715,226 ",급여,"9,054,956,784 ","6,042,859,062 ","1,724,338,890 ",0 ,"215,178,247 ","357,293,116 ","1,270,415,267 ","18,665,041,366 ","77,333,951 ",0 ,"58,004,275,331 ","39,261,900,014 ","18,742,375,317 ",급여,"10,485,769,230 ","7,185,262,063 ","2,181,054,518 ",0 ,0 ,"406,077,188 ","1,128,010,865 ","21,386,173,864 ","120,451,699 ",0 ,"79,510,900,894 ","58,004,275,331 ","21,506,625,563 "
퇴직급여,"1,156,156,801 ",0 ,0 ,0 ,"13,848,740 ","16,171,802 ",0 ,"1,186,177,343 ",,,"1,186,177,343 ",,"1,186,177,343 ",퇴직급여,"1,179,224,734 ",0 ,0 ,0 ,"16,260,571 ","16,171,798 ",0 ,"1,211,657,103 ",0 ,0 ,"2,397,834,446 ","1,186,177,343 ","1,211,657,103 ",퇴직급여,"1,133,066,101 ",0 ,0 ,0 ,"22,351,836 ","28,137,114 ",0 ,"1,183,555,051 ",0 ,0 ,"3,581,389,497 ","2,397,834,446 ","1,183,555,051 ",퇴직급여,"1,141,496,577 ",0 ,0 ,0 ,0 ,"36,123,933 ",0 ,"1,177,620,510 ",0 ,0 ,"4,759,010,007 ","3,581,389,497 ","1,177,620,510 "
복리후생비,"1,315,816,649 ","2,295,819,416 ","38,677,679 ",0 ,"27,867,948 ","30,039,159 ","89,809,065 ","3,798,029,916 ",0 ,"2,163,455 ","3,795,866,461 ",,"3,795,866,461 ",복리후생비,"1,460,806,518 ","1,808,801,697 ","32,536,780 ",0 ,"27,648,576 ","42,079,440 ","100,546,790 ","3,472,419,801 ",0 ,"5,078,873 ","7,263,207,389 ","3,795,866,461 ","3,467,340,928 ",복리후생비,"1,467,588,917 ","2,184,896,511 ","36,760,803 ",0 ,"28,380,392 ","36,618,684 ","122,056,050 ","3,876,301,357 ",0 ,"4,402,512 ","11,135,106,234 ","7,263,207,389 ","3,871,898,845 ",복리후생비,"1,281,037,930 ","2,486,469,869 ","37,756,364 ",0 ,0 ,"55,634,666 ","130,759,751 ","3,991,658,580 ",0 ,"6,900,844 ","15,119,863,970 ","11,135,106,234 ","3,984,757,736 "
여비교통비,"357,749,798 ","96,665,912 ","9,626,451 ",0 ,"3,953,543 ","12,068,966 ","48,260,915 ","528,325,585 ",,,"528,325,585 ",,"528,325,585 ",여비교통비,"247,108,952 ","137,405,624 ","10,414,094 ",0 ,"5,451,228 ","15,138,553 ","30,678,195 ","446,196,646 ",0 ,0 ,"974,522,231 ","528,325,585 ","446,196,646 ",여비교통비,"241,003,569 ","112,885,801 ","14,839,810 ",0 ,"10,583,127 ","14,829,137 ","49,640,124 ","443,781,568 ",0 ,0 ,"1,418,303,799 ","974,522,231 ","443,781,568 ",여비교통비,"348,397,664 ","209,813,451 ","14,090,747 ",0 ,0 ,"11,257,370 ","57,146,543 ","640,705,775 ",0 ,0 ,"2,059,009,574 ","1,418,303,799 ","640,705,775 "
통신비,"156,406,143 ","6,968,574 ","17,051,073 ",0 ,"1,237,221 ","4,390,405 ",0 ,"186,053,416 ",,,"186,053,416 ",,"186,053,416 ",통신비,"170,205,930 ","14,189,173 ","16,798,688 ",0 ,"1,235,718 ","5,466,301 ","148,850 ","208,044,660 ",0 ,0 ,"394,098,076 ","186,053,416 ","208,044,660 ",통신비,"132,670,292 ","11,939,229 ","17,526,988 ",0 ,"1,241,112 ","4,571,471 ","207,355 ","168,156,447 ",0 ,0 ,"562,254,523 ","394,098,076 ","168,156,447 ",통신비,"144,370,199 ","27,993,971 ","17,478,164 ",0 ,0 ,"5,321,954 ","297,523 ","195,461,811 ",0 ,0 ,"757,716,334 ","562,254,523 ","195,461,811 "
수도광열비,"523,963,275 ","73,836,995 ","81,406,017 ",0 ,0 ,"4,462,984 ","3,819,652 ","687,488,923 ",,,"687,488,923 ",,"687,488,923 ",수도광열비,"338,830,003 ","79,180,831 ","91,701,408 ",0 ,0 ,"3,165,649 ","3,821,419 ","516,699,310 ",0 ,0 ,"1,204,188,233 ","687,488,923 ","516,699,310 ",수도광열비,"620,608,726 ","84,187,011 ","101,121,082 ",0 ,0 ,"3,624,384 ","3,972,253 ","813,513,456 ",0 ,0 ,"2,017,701,689 ","1,204,188,233 ","813,513,456 ",수도광열비,"415,260,108 ","95,505,448 ","94,721,703 ",0 ,0 ,"3,187,212 ","2,396,756 ","611,071,227 ",0 ,0 ,"2,628,772,916 ","2,017,701,689 ","611,071,227 "
세금과공과,"640,876,724 ","655,830,470 ",0 ,"6,679,643 ","4,625,059 ","50,861,420 ","146,767,169 ","1,505,640,485 ",,,"1,505,640,485 ",,"1,505,640,485 ",세금과공과,"950,911,873 ","675,304,998 ",0 ,0 ,"3,788,140 ","12,410,040 ","101,707,940 ","1,744,122,991 ",0 ,0 ,"3,249,763,476 ","1,505,640,485 ","1,744,122,991 ",세금과공과,"408,219,506 ","518,187,793 ",0 ,"10,245,589 ","4,574,800 ","(26,173,360)","109,914,256 ","1,024,968,584 ",0 ,0 ,"4,274,732,060 ","3,249,763,476 ","1,024,968,584 ",세금과공과,"417,431,916 ","628,980,103 ",0 ,"(16,816,432)",0 ,"57,383,560 ","102,524,943 ","1,189,504,090 ",0 ,0 ,"5,464,236,150 ","4,274,732,060 ","1,189,504,090 "
