25.1Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 , 단순합계 ,연결조정분개,연결조정분개,2025년 누적,2025년 전분기 누적,2025년 1분기 연결,25.2Q,F&F,F&F Shanghai,FnF HONGKONG,F&F 베트남,빅텐츠,엔터테인머트,세르지오,단순합계,연결조정분개,연결조정분개,2025년 누적,2025년 전분기 누적,2025년 2분기 연결,25.3Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 , 단순합계 ,연결조정분개,연결조정분개,2025년 누적,2025년 전분기 누적,2025년 3분기,25.4Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인머트 , 세르지오 , 단순합계 ,연결조정분개,,2025년 누적,2025년 전분기 누적,2025년 4분기,
물류원가,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,,,0 ,,0 ,물류원가,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,물류원가,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,물류원가,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,
기타매출원가,"588,571,683 ",0 ,0 ,"115,046,874 ",0 ,"1,530,162,809 ","(276,277,585)","1,957,503,781 ",0 ,"115,046,874 ","1,842,456,907 ",,"1,842,456,907 ",기타매출원가,"656,976,561 ",0 ,0 ,"151,415,942 ",0 ,"2,055,480,313 ","4,701,432 ","2,868,574,248 ",0 ,"151,415,942 ","4,559,615,212 ","1,842,456,907 ","2,717,158,305 ",기타매출원가,"728,398,234 ",0 ,0 ,"145,677,613 ",0 ,"4,539,012,167 ","121,393,426 ","5,534,481,440 ",0 ,"145,677,613 ","9,948,419,039 ","4,559,615,212 ","5,388,803,827 ",기타매출원가,"1,028,222,478 ",0 ,0 ,"192,529,525 ",0 ,"4,357,770,233 ","(1,002,430)","5,577,519,806 ",0 ,"192,529,525 ","15,333,409,321 ","9,948,419,039 ","5,384,990,281 ",
Ⅲ.매출총이익,"251,676,932,150 ","54,762,255,731 ","10,991,534,030 ","18,711,695 ",0 ,"(768,845,109)","6,539,128,485 ","323,219,716,982 ",,,"329,733,300,873 ",,"329,733,300,874 ",Ⅲ.매출총이익,"204,615,172,977 ","35,481,257,606 ","8,754,067,653 ","2,034,433 ",0 ,"(922,465,097)","6,631,514,643 ","254,561,582,215 ",0 ,0 ,"588,639,763,603 ","329,733,300,874 ","258,906,462,729 ",Ⅲ.매출총이익,"308,629,877,633 ","75,412,848,562 ","8,888,829,647 ","(8,215,471)",0 ,"(1,803,354,936)","13,087,713,627 ","404,207,699,062 ",0 ,0 ,"897,594,364,837 ","588,639,763,603 ","308,954,601,234 ",Ⅲ.매출총이익,"309,663,164,900 ","63,413,038,082 ","12,830,295,013 ","39,157,472 ",0 ,"(1,827,011,229)","9,727,754,442 ","393,846,398,680 ",0 ,0 ,"1,291,808,587,029 ","897,594,364,837 ","394,214,222,191 ",
Ⅳ.판매비와관리비,"139,699,386,898 ","48,651,782,890 ","10,988,975,260 ","6,215,987 ",0 ,"768,871,604 ","5,542,988,580 ","205,658,221,219 ",,,"206,116,912,814 ",,"206,116,912,814 ",Ⅳ.판매비와관리비,"124,015,606,069 ","35,821,308,924 ","8,566,757,889 ","6,043,773 ",0 ,"833,000,832 ","5,637,900,280 ","174,880,617,767 ",0 ,0 ,"380,993,473,664 ","206,116,912,814 ","174,876,560,850 ",Ⅳ.판매비와관리비,"116,062,030,428 ","45,359,772,432 ","10,135,053,411 ","8,286,039 ",0 ,"943,581,580 ","7,657,788,444 ","180,166,512,334 ",0 ,0 ,"561,928,396,829 ","380,993,473,664 ","180,934,923,165 ",Ⅳ.판매비와관리비,"170,356,306,646 ","59,027,214,242 ","10,156,859,433 ","13,441,316 ",0 ,"839,812,141 ","18,515,276,187 ","258,908,909,965 ",0 ,0 ,"823,265,637,320 ","561,928,396,829 ","261,337,240,491 ",
급여,"8,628,580,129 ","7,850,637,692 ","2,109,398,123 ",0 ,0 ,"390,823,774 ","1,088,554,272 ","20,067,993,990 ","108,247,168 ",,"20,176,241,158 ",,"20,176,241,158 ",급여,"9,610,698,919 ","7,019,614,106 ","1,723,132,278 ",0 ,0 ,"446,181,028 ","822,853,926 ","19,622,480,257 ","140,913,446 ",0 ,"39,939,634,861 ","20,176,241,158 ","19,763,393,703 ",급여,"8,527,479,513 ","6,734,150,927 ","2,451,014,704 ",0 ,0 ,"422,049,441 ","1,043,661,126 ","19,178,355,711 ","133,139,975 ",0 ,"59,251,130,548 ","39,939,634,861 ","19,311,495,686 ",급여,"9,400,449,165 ","7,284,051,752 ","2,661,296,177 ",0 ,0 ,"424,796,450 ","1,006,327,437 ","20,776,920,981 ","170,957,426 ",0 ,"80,199,008,955 ","59,251,130,548 ","20,947,878,407 ",
퇴직급여,"1,126,853,049 ",0 ,"300,714,660 ",0 ,0 ,"34,766,007 ",0 ,"1,462,333,716 ",,,"1,462,333,716 ",,"1,462,333,716 ",퇴직급여,"1,082,105,840 ",0 ,"(5,572,070)",0 ,0 ,"35,846,859 ",0 ,"1,112,380,629 ",0 ,0 ,"2,574,714,345 ","1,462,333,716 ","1,112,380,629 ",퇴직급여,"1,105,803,836 ",0 ,"(295,142,590)",0 ,0 ,"143,992,294 ",0 ,"954,653,540 ",0 ,0 ,"3,529,367,885 ","2,574,714,345 ","954,653,540 ",퇴직급여,"1,045,276,984 ",0 ,0 ,0 ,0 ,"37,595,238 ",0 ,"1,082,872,222 ",0 ,0 ,"4,612,240,107 ","3,529,367,885 ","1,082,872,222 ",
복리후생비,"1,392,752,542 ","2,811,620,235 ","46,223,843 ",0 ,0 ,"44,699,370 ","130,906,441 ","4,426,202,431 ",0 ,"2,472,421 ","4,423,730,010 ",,"4,423,730,010 ",복리후생비,"1,317,374,029 ","2,341,594,089 ","38,890,187 ",0 ,0 ,"50,647,815 ","196,094,489 ","3,944,600,609 ",0 ,"669,681 ","8,367,660,938 ","4,423,730,010 ","3,943,930,928 ",복리후생비,"940,550,339 ","2,570,506,236 ","41,115,303 ",0 ,0 ,"44,465,403 ","130,076,447 ","3,726,713,728 ",0 ,"1,933,868 ","12,092,440,798 ","8,367,660,938 ","3,724,779,860 ",복리후생비,"1,261,414,800 ","2,927,186,575 ","43,613,922 ",0 ,0 ,"50,349,730 ","149,070,952 ","4,431,635,979 ",0 ,"8,235,592 ","16,515,841,185 ","12,092,440,798 ","4,423,400,387 ",
여비교통비,"237,380,279 ","99,639,558 ","26,682,171 ",0 ,0 ,"8,716,739 ","48,214,788 ","420,633,535 ",,,"420,633,535 ",,"420,633,535 ",여비교통비,"191,829,812 ","109,236,000 ","18,377,464 ",0 ,0 ,"13,019,002 ","24,479,581 ","356,941,859 ",0 ,0 ,"777,575,394 ","420,633,535 ","356,941,859 ",여비교통비,"153,667,330 ","167,583,651 ","36,064,661 ",0 ,0 ,"22,359,240 ","3,792,075 ","383,466,957 ",0 ,0 ,"1,161,042,351 ","777,575,394 ","383,466,957 ",여비교통비,"132,156,402 ","180,882,090 ","23,905,297 ",0 ,0 ,"19,397,930 ","19,636,044 ","375,977,763 ",0 ,0 ,"1,537,020,114 ","1,161,042,351 ","375,977,763 ",
통신비,"154,343,718 ","13,778,595 ","18,494,115 ","27,373 ",0 ,"5,857,514 ",0 ,"192,501,315 ",,,"192,501,315 ",,"192,501,315 ",통신비,"138,883,500 ","12,002,314 ","18,253,248 ","118,012 ",0 ,"6,284,997 ",0 ,"175,542,071 ",0 ,0 ,"368,043,386 ","192,501,315 ","175,542,071 ",통신비,"145,258,713 ","20,192,289 ","18,411,083 ","102,698 ",0 ,"6,726,064 ",0 ,"190,690,847 ",0 ,0 ,"558,734,233 ","368,043,386 ","190,690,847 ",통신비,"175,403,055 ","22,501,050 ","18,705,316 ","164,434 ",0 ,"6,212,495 ",0 ,"222,986,350 ",0 ,0 ,"781,720,583 ","558,734,233 ","222,986,350 ",
수도광열비,"613,770,457 ","90,942,305 ","92,927,850 ",0 ,0 ,"5,521,027 ","2,967,334 ","806,128,973 ",,,"806,128,973 ",,"806,128,973 ",수도광열비,"410,009,183 ","74,602,627 ","102,019,464 ",0 ,0 ,"3,505,272 ","2,379,430 ","592,515,976 ",0 ,0 ,"1,398,644,949 ","806,128,973 ","592,515,976 ",수도광열비,"696,737,879 ","93,563,226 ","117,465,409 ",0 ,0 ,"4,739,213 ","4,399,227 ","916,904,954 ",0 ,0 ,"2,315,549,903 ","1,398,644,949 ","916,904,954 ",수도광열비,"445,832,901 ","88,264,824 ","110,911,002 ",0 ,0 ,"3,189,073 ","3,236,431 ","651,434,231 ",0 ,0 ,"2,966,984,134 ","2,315,549,903 ","651,434,231 ",
