24.1Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인먼트 , 세르지오 , 단순합계 ,연결분개 DR,연결분개 CR,2024년 03월 31일,2023년 12월 31일,24.2Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인먼트 , 세르지오 , 단순합계 ,연결분개 DR,연결분개 CR,2024년 06월 30일,2023년 12월 31일,24.3Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인먼트 , 세르지오 , 단순합계 ,연결분개 DR,연결분개 CR,2024년 09월 30일,2023년 12월 31일,24.4Q,F&F,F&F Shanghai,FnF HONGKONG,F&F 베트남,빅텐츠,엔터테인먼트,세르지오,단순합계,연결분개 DR,연결분개 CR,Dr,Cr,2024년 12월 31일,2023년 12월 31일
선급비용,"4,630,618,856","37,744,584,086","343,208,026",0,"305,673,601",0,"1,671,691,810","44,695,776,379",,"31,197,914,788","13,497,861,591","8,678,138,732",선급비용,"2,879,074,595","3,968,221,319","369,221,160",0,"272,682,098",0,"3,268,712,736","10,757,911,908",,"754,470,123","10,003,441,785","8,678,138,732",선급비용,"5,827,663,488","2,953,714,165","556,631,208",0,"264,293,298",0,"1,411,625,420","11,013,927,579",,"657,085,222","10,092,549,059","8,678,138,732",선급비용,"3,773,268,836","5,530,623,641","680,773,207",0,"264,293,298","366,784,424","1,675,866,959","12,291,610,365",,"582,569,959",,"264,293,298",11444747108,8678138732
미완성프로그램,0,0,0,0,"9,807,316,085",0,0,"9,807,316,085",,"9,807,316,085",0,0,미완성프로그램,0,0,0,0,0,0,0,0,,,0,0,미완성프로그램,0,0,0,0,0,0,0,0,,,0,0,미완성프로그램,0,0,0,0,0,0,0,0,,,,,0,0
완성프로그램,0,0,0,0,"3,700,000,000",0,0,"3,700,000,000",,,"3,700,000,000","3,700,000,000",완성프로그램,0,0,0,0,"14,046,269,025",0,0,"14,046,269,025",,"10,346,269,025","3,700,000,000","3,700,000,000",완성프로그램,0,0,0,0,"3,700,000,000",0,0,"3,700,000,000",,0,0,"3,700,000,000",완성프로그램,0,0,0,0,"3,700,000,000",0,0,"3,700,000,000",,0,,"3,700,000,000",0,3700000000
완성프로그램-대손충당금,0,0,0,0,"-3,700,000,000",0,0,"-3,700,000,000",,,"-3,700,000,000","-3,700,000,000",완성프로그램-대손충당금,0,0,0,0,"-3,700,000,000",0,0,"-3,700,000,000",,,"-3,700,000,000","-3,700,000,000",완성프로그램-대손충당금,0,0,0,0,"-3,700,000,000",0,0,"-3,700,000,000",,,0,"-3,700,000,000",완성프로그램-대손충당금,0,0,0,0,"-3,700,000,000",0,0,"-3,700,000,000",,,,"-3,700,000,000",0,-3700000000
출연료선급금,0,0,0,0,"1,800,000",0,0,"1,800,000",,,"1,800,000","1,800,000",출연료선급금,0,0,0,0,"1,800,000",0,0,"1,800,000",,,"1,800,000","1,800,000",출연료선급금,0,0,0,0,"1,800,000",0,0,"1,800,000",,,0,"1,800,000",출연료선급금,0,0,0,0,"1,800,000",0,0,"1,800,000",,,,"1,800,000",0,1800000
출연료선급금-대손충당금,0,0,0,0,0,0,0,0,,,0,0,출연료선급금-대손충당금,0,0,0,0,0,0,0,0,,,0,0,출연료선급금-대손충당금,0,0,0,0,0,0,0,0,,,0,0,출연료선급금-대손충당금,0,0,0,0,0,0,0,0,,,,,0,0
(2)재고자산,"232,094,861,454","136,109,668,464","33,178,871,550",0,0,0,"4,243,610,302","405,627,011,770",,,"323,836,074,353","341,072,035,528",(2)재고자산,"207,444,073,308","115,039,604,308","30,582,113,412",0,0,0,"4,806,176,912","357,871,967,940",,,"292,899,313,873","341,072,035,528",(2)재고자산,"247,067,758,932","174,481,366,450","34,085,684,199",0,0,0,"5,150,437,675","460,785,247,256",,,"361,737,356,291","341,072,035,528",(2)재고자산,"214,281,196,882","141,222,858,076","35,204,658,769",0,0,0,"8,722,602,195","399,431,315,922",,,,,3.25E+11,3.41E+11
상품,"10,497,565,299","168,017,032,072","33,321,513,332",0,0,0,"4,514,796,159","216,350,906,862",,"201,338,545,404","15,012,361,458","16,216,033,313",상품,"9,975,445,654","132,901,462,839","30,821,339,504",0,0,0,"2,703,417,930","176,401,665,927",,"163,722,802,343","12,678,863,584","16,216,033,313",상품,"8,697,212,565","186,175,163,141","34,659,555,156",0,0,0,"5,246,771,642","234,778,702,504",,"220,834,718,297","13,943,984,207","16,216,033,313",상품,"5,330,774,255","179,903,333,491","35,778,551,449",0,0,0,"4,884,848,132","225,897,507,327",,"215,681,884,940",,,10215622387,16216033313
상품평가손실충당금,"-4,058,174,994","-35,096,731,230","-142,641,782",0,0,0,"-271,185,857","-39,568,733,863",,"-35,239,373,012","-4,329,360,851","-1,605,587,125",상품평가손실충당금,"-4,001,315,563","-33,879,041,612","-239,226,092",0,0,0,"-282,063,015","-38,401,646,282",,"-34,118,267,704","-4,283,378,578","-1,605,587,125",상품평가손실충당금,"-3,143,444,549","-33,038,647,709","-573,870,957",0,0,0,"-385,889,322","-37,141,852,537",,"-33,612,518,666","-3,529,333,871","-1,605,587,125",상품평가손실충당금,"-2,295,092,674","-55,008,540,192","-573,892,680",0,0,0,"-401,469,172","-58,278,994,718",,"-55,582,432,872",,,-2696561846,-1605587125
제품,"228,929,710,619",0,0,0,0,0,0,"228,929,710,619","95,389,050,151",,"324,318,760,770","328,489,351,791",제품,"202,380,146,333",0,0,0,0,0,0,"202,380,146,333","89,263,070,163",,"291,643,216,496","328,489,351,791",제품,"242,041,352,723",0,0,0,0,0,0,"242,041,352,723","116,769,126,737",,"358,810,479,460","328,489,351,791",제품,"205,975,396,899",0,0,0,0,0,0,"205,975,396,899","113,894,452,835",,,,3.20E+11,3.28E+11
