25.1Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인먼트 , 세르지오 , 단순합계 ,연결분개 DR,연결분개 CR,Dr,Cr,2025년 03월 31일,2024년 12월 31일,25.2Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인먼트 , 세르지오 , 단순합계 ,연결분개 DR,연결분개 CR,Dr,Cr,2025년 06월 30일,2024년 12월 31일,25.3Q, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인먼트 , 세르지오 , 단순합계 ,연결분개 DR,연결분개 CR,Dr,Cr,2025년 09월 30일,2024년 12월 31일,과  목, F&F , F&F Shanghai , FnF HONGKONG , F&F 베트남 , 빅텐츠 , 엔터테인먼트 , 세르지오 , 단순합계 ,연결분개 DR,연결분개 CR,Dr,Cr,2025년 12월 31일,2024년 12월 31일
선급비용,"10,206,854,528","8,212,903,956","933,351,146","737,491",0,"817,737,900","2,166,032,364","22,337,617,385",,"1,108,594,706",,,"21,229,022,679","11,444,747,109",선급비용,"8,240,354,246","5,720,840,053","854,064,992","439,933",0,"1,917,418,221","2,117,484,300","18,850,601,745",,"733,134,728",,,"18,117,467,017","11,444,747,109",선급비용,"8,239,809,144","5,543,698,950","994,144,094","226,018",0,"611,113,276","2,303,566,663","17,692,558,145",,"944,184,015",,,"16,748,374,130","11,444,747,109",선급비용,"8,239,809,144","5,543,698,950","994,144,094","226,018",0,"611,113,276","2,303,566,663","17,692,558,145",,"944,184,015",,,"16,748,374,130","11,444,747,109"
미완성프로그램,0,0,0,0,0,0,0,0,,,,,0,0,미완성프로그램,0,0,0,0,0,0,0,0,,,,,0,0,미완성프로그램,0,0,0,0,0,0,0,0,,,,,0,0,미완성프로그램,0,0,0,0,0,0,0,0,,,,,0,0
완성프로그램,0,0,0,0,0,0,0,0,,0,,,0,0,완성프로그램,0,0,0,0,0,0,0,0,,0,,,0,0,완성프로그램,0,0,0,0,0,0,0,0,,,,,0,0,완성프로그램,0,0,0,0,0,0,0,0,,,,,0,0
완성프로그램-대손충당금,0,0,0,0,0,0,0,0,,,,,0,0,완성프로그램-대손충당금,0,0,0,0,0,0,0,0,,,,,0,0,완성프로그램-대손충당금,0,0,0,0,0,0,0,0,,,,,0,0,완성프로그램-대손충당금,0,0,0,0,0,0,0,0,,,,,0,0
출연료선급금,0,0,0,0,0,0,0,0,,,,,0,0,출연료선급금,0,0,0,0,0,0,0,0,,,,,0,0,출연료선급금,0,0,0,0,0,0,0,0,,,,,0,0,출연료선급금,0,0,0,0,0,0,0,0,,,,,0,0
출연료선급금-대손충당금,0,0,0,0,0,0,0,0,,,,,0,0,출연료선급금-대손충당금,0,0,0,0,0,0,0,0,,,,,0,0,출연료선급금-대손충당금,0,0,0,0,0,0,0,0,,,,,0,0,출연료선급금-대손충당금,0,0,0,0,0,0,0,0,,,,,0,0
(2)재고자산,"214,606,831,954","123,617,042,432","33,552,935,491",0,0,0,"9,992,916,292","381,769,726,169",,,,,"314,052,432,256","324,991,830,383",(2)재고자산,"199,308,435,635","113,821,561,785","29,260,313,692",0,0,0,"9,316,783,093","351,707,094,205",,,,,"293,349,791,273","324,991,830,383",(2)재고자산,"242,023,766,740","281,972,799,277","34,165,476,104",0,0,0,"12,557,803,998","570,719,846,119",,,,,"414,026,000,374","324,991,830,383",(2)재고자산,"242,023,766,740","281,972,799,277","34,165,476,104",0,0,0,"12,557,803,998","570,719,846,119",,,,,"414,026,000,374","324,991,830,383"
상품,"3,771,600,571","174,837,217,664","34,656,976,598",0,0,0,"9,836,864,781","223,102,659,614",,"209,494,194,262",,,"13,608,465,352","10,215,622,387",상품,"3,857,046,488","154,711,367,348","30,530,008,002",0,0,0,"8,159,910,836","197,258,332,674",,"185,241,375,350",,,"12,016,957,324","10,215,622,387",상품,"2,679,702,961","314,006,756,852","35,944,682,902",0,0,0,"12,922,577,284","365,553,719,999",,"349,951,439,754",,,"15,602,280,245","10,215,622,387",상품,"2,679,702,961","314,006,756,852","35,944,682,902",0,0,0,"12,922,577,284","365,553,719,999",,"349,951,439,754",,,"15,602,280,245","10,215,622,387"
상품평가손실충당금,"-2,310,667,606","-58,429,709,654","-1,104,041,107",0,0,0,"-456,013,748","-62,300,432,115",,"-59,533,750,761",,,"-2,766,681,354","-2,696,561,846",상품평가손실충당금,"-1,451,593,410","-59,536,141,904","-1,269,694,310",0,0,0,"-340,768,386","-62,598,198,010",,"-60,805,836,214",,,"-1,792,361,796","-2,696,561,846",상품평가손실충당금,"-1,162,607,521","-61,427,396,874","-1,779,206,798",0,0,0,"-366,296,720","-64,735,507,913",,"-63,206,603,672",,,"-1,528,904,241","-2,696,561,846",상품평가손실충당금,"-1,162,607,521","-61,427,396,874","-1,779,206,798",0,0,0,"-366,296,720","-64,735,507,913",,"-63,206,603,672",,,"-1,528,904,241","-2,696,561,846"
제품,"212,719,361,992",0,0,0,0,0,0,"212,719,361,992","103,577,239,892",,,,"316,296,601,884","319,869,849,734",제품,"194,938,035,536",0,0,0,0,0,0,"194,938,035,536","104,102,747,798",,,,"299,040,783,334","319,869,849,734",제품,"240,564,547,128",0,0,0,0,0,0,"240,564,547,128","179,483,561,780",,,,"420,048,108,908","319,869,849,734",제품,"240,564,547,128",0,0,0,0,0,0,"240,564,547,128","179,483,561,780",,,,"420,048,108,908","319,869,849,734"
